1,K,233
1,M,0
1,B,233101
2,K,61
2,M,0
2,B,61371
3,K,215
3,M,0
3,B,215880
4,K,495
4,M,0
4,B,495433
5,K,264
5,M,0
5,B,264302
6,K,496
6,M,0
6,B,496938
7,K,160
7,M,0
7,B,160983
8,K,177
8,M,0
8,B,177683
9,K,472
9,M,0
9,B,472003
10,K,469
10,M,0
10,B,469200
11,K,358
11,M,0
11,B,358865
12,K,315
12,M,0
12,B,315806
13,K,112
13,M,0
13,B,112632
14,K,263
14,M,0
14,B,263725
15,K,434
15,M,0
15,B,434881
16,K,176
16,M,0
16,B,176332
17,K,31
17,M,0
17,B,31548
18,K,312
18,M,0
18,B,312552
19,K,327
19,M,0
19,B,327373
20,K,84
20,M,0
20,B,84877
21,K,337
21,M,0
21,B,337542
22,K,337
22,M,0
22,B,337699
23,K,358
23,M,0
23,B,358603
24,K,17
24,M,0
24,B,17308
25,K,225
25,M,0
25,B,225396
26,K,410
26,M,0
26,B,410518
27,K,405
27,M,0
27,B,405800
28,K,135
28,M,0
28,B,135472
29,K,138
29,M,0
29,B,138577
30,K,448
30,M,0
30,B,448419
31,K,384
31,M,0
31,B,384428
32,K,466
32,M,0
32,B,466518
33,K,182
33,M,0
33,B,182231
34,K,375
34,M,0
34,B,375442
35,K,458
35,M,0
35,B,458962
36,K,396
36,M,0
36,B,396542
37,K,83
37,M,0
37,B,83367
38,K,50
38,M,0
38,B,50529
39,K,322
39,M,0
39,B,322953
40,K,384
40,M,0
40,B,384466
41,K,288
41,M,0
41,B,288526
42,K,40
42,M,0
42,B,40576
43,K,318
43,M,0
43,B,318492
44,K,377
44,M,0
44,B,377059
45,K,254
45,M,0
45,B,254875
46,K,372
46,M,0
46,B,372114
47,K,416
47,M,0
47,B,416960
48,K,279
48,M,0
48,B,279554
49,K,453
49,M,0
49,B,453914
50,K,16
50,M,0
50,B,16960
51,K,367
51,M,0
51,B,367988
52,K,27
52,M,0
52,B,27682
53,K,461
53,M,0
53,B,461151
54,K,20
54,M,0
54,B,20177
55,K,403
55,M,0
55,B,403757
56,K,312
56,M,0
56,B,312245
57,K,453
57,M,0
57,B,453211
58,K,196
58,M,0
58,B,196509
59,K,208
59,M,0
59,B,208653
60,K,155
60,M,0
60,B,155442
61,K,380
61,M,0
61,B,380928
62,K,132
62,M,0
62,B,132074
63,K,295
63,M,0
63,B,295308
64,K,47
64,M,0
64,B,47966
65,K,89
65,M,0
65,B,89845
66,K,122
66,M,0
66,B,122842
67,K,320
67,M,0
67,B,320935
68,K,373
68,M,0
68,B,373641
69,K,25
69,M,0
69,B,25846
70,K,199
70,M,0
70,B,199374
71,K,252
71,M,0
71,B,252769
72,K,44
72,M,0
72,B,44144
73,K,185
73,M,0
73,B,185488
74,K,431
74,M,0
74,B,431079
75,K,155
75,M,0
75,B,155921
76,K,2
76,M,0
76,B,2261
77,K,24
77,M,0
77,B,24649
78,K,358
78,M,0
78,B,358862
79,K,327
79,M,0
79,B,327753
80,K,150
80,M,0
80,B,150951
81,K,342
81,M,0
81,B,342250
82,K,128
82,M,0
82,B,128280
83,K,375
83,M,0
83,B,375501
84,K,263
84,M,0
84,B,263342
85,K,410
85,M,0
85,B,410133
86,K,89
86,M,0
86,B,89636
87,K,144
87,M,0
87,B,144808
88,K,360
88,M,0
88,B,360030
89,K,40
89,M,0
89,B,40192
90,K,424
90,M,0
90,B,424478
91,K,276
91,M,0
91,B,276115
92,K,265
92,M,0
92,B,265519
93,K,390
93,M,0
93,B,390200
94,K,223
94,M,0
94,B,223260
95,K,30
95,M,0
95,B,30095
96,K,261
96,M,0
96,B,261088
97,K,6
97,M,0
97,B,6000
98,K,130
98,M,0
98,B,130115
99,K,395
99,M,0
99,B,395917
100,K,91
100,M,0
100,B,91844
101,K,189
101,M,0
101,B,189581
102,K,38
102,M,0
102,B,38760
103,K,253
103,M,0
103,B,253565
104,K,92
104,M,0
104,B,92669
105,K,282
105,M,0
105,B,282802
106,K,86
106,M,0
106,B,86683
107,K,449
107,M,0
107,B,449259
108,K,284
108,M,0
108,B,284161
109,K,7
109,M,0
109,B,7735
110,K,344
110,M,0
110,B,344294
111,K,450
111,M,0
111,B,450754
112,K,6
112,M,0
112,B,6869
113,K,289
113,M,0
113,B,289237
114,K,467
114,M,0
114,B,467153
115,K,239
115,M,0
115,B,239530
116,K,400
116,M,0
116,B,400341
117,K,31
117,M,0
117,B,31454
118,K,128
118,M,0
118,B,128155
119,K,486
119,M,0
119,B,486631
120,K,298
120,M,0
120,B,298579
121,K,13
121,M,0
121,B,13563
122,K,47
122,M,0
122,B,47643
123,K,481
123,M,0
123,B,481197
124,K,3
124,M,0
124,B,3528
125,K,175
